As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
Since sold 6 million copies globally. ||| since ||| It received mixed reviews from music critics, and has since sold 6 million copies globally.
Whereas bald eagles can be seen along rivers. ||| whereas ||| Golden eagles and greater sage-grouse can be found over sagebrush steppe, whereas bald eagles can be seen along rivers.
As it strengthened into a strong Category 1 hurricane. ||| as ||| Hurricane Nate formed southwest of Bermuda on September 5 and moved northeast as it strengthened into a strong Category 1 hurricane.
When faced by Coakley in cross-examination. ||| when ||| Seaman Alphonso McPherson held fast to his testimony even when faced by Coakley in cross-examination.
As Richard approached 50 goals for the season. ||| As ||| As Richard approached 50 goals for the season, opposition players resorted to increasingly violent efforts to prevent him from scoring.
That the best days would never return. ||| that ||| By this time, Mitford's relationship with Palewski had become dormant, and she recognised that the best days would never return.
After tests at University College Hospital. ||| After ||| After tests at University College Hospital, cancer of the breast was diagnosed, and a mastectomy was performed on 10 April.
As one of the worst in the history of Conectiv Energy. ||| as ||| The resulting power outage was described as one of the worst in the history of Conectiv Energy.
That Macmillan was on holiday in Scotland. ||| that ||| They found that Macmillan was on holiday in Scotland.
Where they stopped briefly on 5 July before heading for home. ||| where ||| The final port of call was at Horta in the Azores, where they stopped briefly on 5 July before heading for home.
As commander. ||| as ||| They elected Frank W. Johnson as commander.
That Kentuckians strongly opposed both secession and coercion against the secessionists. ||| that ||| Historian Allan Nevins interpreted the election results to mean that Kentuckians strongly opposed both secession and coercion against the secessionists.
Once ashore. ||| Once ||| Once ashore, the cavalrymen rapidly secured the Arawe Peninsula.
That conditions had become slightly less favorable for storms than earlier in the year. ||| that ||| Team members noted that conditions had become slightly less favorable for storms than earlier in the year.
As captain, he won nine, lost one and drew five. ||| as ||| Of his 15 Tests as captain, he won nine, lost one and drew five.
Than anticipated. ||| than ||| The National Hurricane Center originally expected the cyclone to remain weak, but Fay began organizing more quickly than anticipated.
When both Assembly and Emperor acted in a spirit of cooperation for the national good. ||| when ||| The system functioned smoothly only when both Assembly and Emperor acted in a spirit of cooperation for the national good.
Until late October, when the outbreak had fully subsided. ||| until ||| Blackburn returned to the area and continued his ministrations until late October, when the outbreak had fully subsided.
After Aureliano Coutinho's fall from grace and the subsequent dissolution of the Liberal Party. ||| after ||| He temporarily abandoned politics after Aureliano Coutinho's fall from grace and the subsequent dissolution of the Liberal Party.
As a clerk. ||| as ||| His father was employed by the French Consulate-General as a clerk.
After opening the series with three straight wins. ||| After ||| After opening the series with three straight wins, the Canucks lost the next three, forcing a seventh game.
That year, Allen's brother Geoffrey was killed fighting in France. ||| that ||| Later that year, Allen's brother Geoffrey was killed fighting in France.
That game, touching off a period of dominance. ||| that ||| The Browns won that game, touching off a period of dominance.
That took off his right arm and left hand. ||| that ||| One, Sgt. Thomas Plunkett, was hit by an artillery shell that took off his right arm and left hand.
As Chambers took 403 votes to West's 311. ||| as ||| The majority agreed, as Chambers took 403 votes to West's 311.
Once to engage. ||| once ||| This posed a major threat to the French, so Soult moved at once to engage.
As having a great voice, but somewhat shy and generally unwilling to discuss social issues. ||| as ||| Eros Djarot described him as having a great voice, but somewhat shy and generally unwilling to discuss social issues.
As mulattoes. ||| as ||| Black Brazilians of Sub-Saharan African ancestry inhabited the same areas as mulattoes.
As it moved south of the Florida Keys on September 20. ||| as ||| The storm reached Category 2 intensity as it moved south of the Florida Keys on September 20.
After Turismod died. ||| After ||| After Turismod died, his younger brother Cunimund became commander in Sirmium and thus heir apparent.
Although he caught the puck with his glove. ||| Although ||| Although he caught the puck with his glove, he did so without gloves resembling the modern blocker and trapper glove combination.
That year, she briefly considered a career in modeling. ||| that ||| Having won the title of Kentucky Derby Festival Queen earlier that year, she briefly considered a career in modeling.
As a Weather Bureau Office was destroyed. ||| as ||| The building formerly used as a Weather Bureau Office was destroyed.
Because of the escalating pace of events. ||| Because ||| Because of the escalating pace of events, neither conference was held.
As the two plants returned to service. ||| as ||| The water returned to near normal in five days, as the two plants returned to service.
Before his ninety-third birthday. ||| before ||| Chandler died June 15, 1991, a month before his ninety-third birthday.
As the principal inspiration for Wagner's later works, particularly Parsifal. ||| as ||| Commentators have recognised Cosima as the principal inspiration for Wagner's later works, particularly Parsifal.
As biological Sites of Special Scientific Interest. ||| as ||| The river and the Barle Valley are both designated as biological Sites of Special Scientific Interest.
Because 12-year-old Lemuel Murphy was near death, some of the group began to eat flesh from Dolan's body. ||| because ||| Not long after, possibly because 12-year-old Lemuel Murphy was near death, some of the group began to eat flesh from Dolan's body.
As a result. ||| As ||| As a result, the Arabs concentrated their efforts on this section.
As Provincial Treasurer, Solon Low, introduced the government's budget. ||| as ||| On March 11 or 12, Cockroft's replacement as Provincial Treasurer, Solon Low, introduced the government's budget.
After Nannerl. ||| after ||| He remembered the Mozarts from 1768 in Vienna, and asked after Nannerl.
Where a friend of Allen's father, C. M. Wells, was a housemaster. ||| where ||| His ability attracted the attention of Eton College, where a friend of Allen's father, C. M. Wells, was a housemaster.
While Mrs. Bradley and daughter Christine returned to the family's home in Lancaster. ||| while ||| Thereafter, Governor Bradley stayed in Frankfort's Capitol Hotel, while Mrs. Bradley and daughter Christine returned to the family's home in Lancaster.
As a Scheduled Ancient Monument. ||| as ||| In 1997, a segment of the ditch 150-yard long in Platt Fields was protected as a Scheduled Ancient Monument.
After Oerip, including in his hometown of Purworejo, nearby Yogyakarta, and the capital at Jakarta. ||| after ||| Several streets are named after Oerip, including in his hometown of Purworejo, nearby Yogyakarta, and the capital at Jakarta.
That the Allies would subsequently land along the Bay of Biscay. ||| that ||| Ironside supported the overall deception by suggesting to the Germans that the Allies would subsequently land along the Bay of Biscay.
As a political instrument to support colonial rule. ||| as ||| Amid growing independence movements in the region, Hutton believed his team was used as a political instrument to support colonial rule.
Where he spent the night. ||| where ||| On January 4, 2000, Mihdhar left Yemen and flew to Dubai, United Arab Emirates, where he spent the night.
Where the Newport Casino was damaged. ||| where ||| There was also heavy damage in Newport, where the Newport Casino was damaged.
Although the birthdate and parentage details were given correctly. ||| although ||| The statement was later found to contain many errors, although the birthdate and parentage details were given correctly.
As an amateur before turning professional in June 1995. ||| as ||| Armstrong boxed as an amateur before turning professional in June 1995.
While Bradman was absent with fibrositis. ||| while ||| During the first innings, Brown captained Australia while Bradman was absent with fibrositis.
When the Achaeans arrived at Argos for an assembly. ||| When ||| When the Achaeans arrived at Argos for an assembly, Cleomenes came down from Tegea to meet them.
As in zhii. ||| as ||| Therefore, they are performed with an additional i sound, as in zhii.
As the Chinese quarter. ||| as ||| Block 70 in New Belgrade is known colloquially as the Chinese quarter.
As a staging point for traffic along the Malabar Coast. ||| as ||| The city is often used as a staging point for traffic along the Malabar Coast.
That time period, the Clackamas' tribal population was roughly 1,800. ||| that ||| In that time period, the Clackamas' tribal population was roughly 1,800.
Whether police had had any contact with Tomlinson were asked not to speculate in case it upset the family. ||| whether ||| Journalists who asked whether police had had any contact with Tomlinson were asked not to speculate in case it upset the family.
When a surgeon arrived a few minutes later. ||| When ||| When a surgeon arrived a few minutes later, the pulse had stopped, and Perceval was declared dead.
As wearing a towel around his waist, having showered. ||| as ||| Leo O'Brien described Woodfull as wearing a towel around his waist, having showered.
After John Konrads and Tim Shaw to hold world records over three distances simultaneously. ||| after ||| This performance made him the third male after John Konrads and Tim Shaw to hold world records over three distances simultaneously.
That lucrative position until 1872, when Congress abolished it. ||| that ||| Weaver held that lucrative position until 1872, when Congress abolished it.
Until dissipation. ||| until ||| Several hurricane forecast models predicted Kyle to weaken until dissipation.
When it out-touched Japan to claim silver. ||| when ||| Australia's best result had come in the inaugural race, when it out-touched Japan to claim silver.
That the southern flank could advance without suffering German enfilade fire. ||| that ||| This would ensure that the southern flank could advance without suffering German enfilade fire.
Where he was soon blockaded by Michael's troops. ||| where ||| Thomas and his supporters sought refuge in Arcadiopolis, where he was soon blockaded by Michael's troops.
As the Texas Revolution. ||| as ||| In October, the Texians took up arms in what became known as the Texas Revolution.
That desegregated Kentucky's public services became a major issue in the campaign. ||| that ||| An executive order signed by Governor Bert T. Combs that desegregated Kentucky's public services became a major issue in the campaign.
Though much of the wildlife has left and hunting grows increasingly difficult. ||| Though ||| Though much of the wildlife has left and hunting grows increasingly difficult, Tod stays because it is his home range.
That the channel of the Glaven was becoming blocked increasingly often by 2004. ||| that ||| Landward movement of the shingle meant that the channel of the Glaven was becoming blocked increasingly often by 2004.
That both girls were very shy. ||| that ||| Cosima seems to have made little impression on him; in his memoirs he merely recorded that both girls were very shy.
While the remainder were imprisoned for terms ranging from five to ten years. ||| while ||| Five officers were acquitted, while the remainder were imprisoned for terms ranging from five to ten years.
Although Virginia Tech's selection via automatic bid was relatively quiet. ||| Although ||| Although Virginia Tech's selection via automatic bid was relatively quiet, Kansas' selection caused a great deal of controversy.
That the suspension would end his Yorkshire career, signed a contract to play for Accrington Cricket Club. ||| that ||| Peel, having concluded that the suspension would end his Yorkshire career, signed a contract to play for Accrington Cricket Club.
As the 1940 season began. ||| As ||| As the 1940 season began, Grove became a part of the White Sox roster and began his Major League career.
That the contacts made in county cricket offset the lost working time. ||| that ||| Fender disagreed, suggesting that the contacts made in county cricket offset the lost working time.
As the Pacific giant salamander. ||| as ||| In addition to fish, the basin supports 18 species of amphibians, such as the Pacific giant salamander.
If their bilge pumps could not be operated. ||| If ||| If their bilge pumps could not be operated, the target ships would eventually sink.
As Keeper of Exmoor Forest in 1660 and 1661. ||| as ||| James Butler, 1st Duke of Ormonde, was named as Keeper of Exmoor Forest in 1660 and 1661.
Although Dixon did not yet know the name of the man he was looking for. ||| although ||| Dixon hoped to find Jenner there, although Dixon did not yet know the name of the man he was looking for.
That the government was able to retire the war debt in only ten years. ||| that ||| However, the country was so prosperous that the government was able to retire the war debt in only ten years.
As the third-place team in the Big East Conference. ||| As ||| As the third-place team in the Big East Conference, Tech accepted a bid to the 2003 Insight Bowl.
As its key trading partner. ||| as ||| During Madagascar's First Republic, France heavily influenced Madagascar's economic planning and policy and served as its key trading partner.
As Jeff Gordon claimed second from Bowyer. ||| as ||| Stewart led on the restart, as Jeff Gordon claimed second from Bowyer.
As a group, often with John Field, trumpet player Dominic Lindsay, and Paddick. ||| as ||| They wrote songs individually at first, but eventually wrote as a group, often with John Field, trumpet player Dominic Lindsay, and Paddick.
Although the victory briefly uplifted the Texian troops. ||| Although ||| Although the victory briefly uplifted the Texian troops, morale continued to fall as the weather turned colder and the men grew bored.
That it remain at Steamtown as it is the only articulated type in the collection. ||| that ||| The Steamtown Special History Study recommended that it remain at Steamtown as it is the only articulated type in the collection.
As a result of the phone-in, with Signature second, and Johnston third. ||| as ||| Sampson eventually won the show as a result of the phone-in, with Signature second, and Johnston third.
As the creation of new laws and decrees. ||| as ||| The commission's job is to assist the municipality in legal matters, such as the creation of new laws and decrees.
Until the end of the 1850s, when the system collapsed and was abandoned. ||| until ||| The scheme endured until the end of the 1850s, when the system collapsed and was abandoned.
That only the sportspeople would suffer from a boycott and that trade relations would continue unabated. ||| that ||| Evans' relay team-mate Tonelli believed that only the sportspeople would suffer from a boycott and that trade relations would continue unabated.
After MacLaren stopped playing regularly for Lancashire. ||| After ||| After MacLaren stopped playing regularly for Lancashire, he formed a business partnership with J. N. Pentelow, a cricket writer.
As it drifted to the northeast. ||| as ||| The depression slowly organized for the next day, as it drifted to the northeast.
As a result of Edith. ||| as ||| Two fishermen were reported lost at sea and presumed dead as a result of Edith.
As a center fielder was recognized in 1888, while he was playing for a club in Milwaukee, Wisconsin. ||| as ||| His skill as a center fielder was recognized in 1888, while he was playing for a club in Milwaukee, Wisconsin.
Where bands of convection around the center began to organize. ||| where ||| The low moved over warm waters of the Gulf Stream, where bands of convection around the center began to organize.
As captain in nine Tests. ||| As ||| As captain in nine Tests, he won four matches and lost four; the remaining game was drawn.
As an act of defiance toward the Capitol. ||| as ||| Katniss devises a memorial for Rue by placing flowers over her body as an act of defiance toward the Capitol.
As a private. ||| as ||| His older brother, Robert, also joined the same unit as a private.
Before the race. ||| Before ||| Before the race, Denny Hamlin led the Drivers' Championship with 5,060 points, followed by Jimmie Johnson with 5,050.
As a Category 4 hurricane. ||| as ||| An eyewall replacement cycle weakened Dean, which then passed just south of Jamaica as a Category 4 hurricane.
Although over 100 different microorganisms help create it. ||| although ||| Periphyton is predominantly algae, although over 100 different microorganisms help create it.
When drafting her contract. ||| when ||| Warner Bros. took considerable notice of Rowling's desires and thoughts when drafting her contract.
After a protracted legal battle. ||| After ||| After a protracted legal battle, all of the minor officers were unseated except Attorney General Clifton J. Pratt.
Until just before the Senate's January 16 confirmation vote. ||| until ||| Pierce nominated Breckinridge to fill the vacancy, but did not tell him until just before the Senate's January 16 confirmation vote.
That formed in the northeast Pacific in 1995. ||| that ||| The following names were used for named storms that formed in the northeast Pacific in 1995.
After the Test. ||| after ||| Between Tests, Bradman rested himself for the match against Northamptonshire, which started the day after the Test.
That time headed by Bernardo Berro. ||| that ||| Back on his native soil, Flores called for the ouster of the constitutional government, by that time headed by Bernardo Berro.
As the thermohaline circulation or global conveyor belt. ||| as ||| A main deep ocean current flows through all the world's oceans and is known as the thermohaline circulation or global conveyor belt.
Although Schneider was available to play for Game 7. ||| Although ||| Although Schneider was available to play for Game 7, Vigneault chose to start Luongo.
As the storm crossed land, the circulation became better-defined. ||| as ||| Despite decreasing wind speeds as the storm crossed land, the circulation became better-defined.
Where growth was 2.3% above the national average. ||| where ||| The economy grew relatively strongly between 2002 and 2012, where growth was 2.3% above the national average.
That game, Callender finished with 92 receiving yards and 75 rushing yards. ||| that ||| In that game, Callender finished with 92 receiving yards and 75 rushing yards.
Though they noted uncertainty in Ismael's track due to the low. ||| though ||| Such a change in motion was not operationally predicted by forecasters, though they noted uncertainty in Ismael's track due to the low.
As well. ||| as ||| Police were used to aid the strikebreakers and had been sometimes attacked as well.
Until he purges them by revealing himself through his comics. ||| until ||| His conflicting emotions follow him into adulthood until he purges them by revealing himself through his comics.
As it gained organization, and became the first hurricane of the season on August 16. ||| as ||| The storm continued to strengthen overnight as it gained organization, and became the first hurricane of the season on August 16.
Where he spent the summer recruiting fresh forces. ||| where ||| Deserted by most of his followers, he withdrew to Scotland, where he spent the summer recruiting fresh forces.
That other testimony against his client was false. ||| that ||| Morrow further showed that other testimony against his client was false.
As Godfrey's personal assistant and excelled in administration. ||| as ||| Fleming proved invaluable as Godfrey's personal assistant and excelled in administration.
That day showed three teenagers being hit by a water jet from a high-pressure firehose. ||| that ||| The first photo Moore shot that day showed three teenagers being hit by a water jet from a high-pressure firehose.
That he could hardly swim at all. ||| that ||| Tonelli said the reality was that he could hardly swim at all.
As rimu, totara, silver beech, matai and kahikatea. ||| as ||| The forest is thick with trees such as rimu, totara, silver beech, matai and kahikatea.
Since regaining independence. ||| Since ||| Since regaining independence, Madagascar has transitioned through four republics with corresponding revisions to its constitution.
That all the forms of the new term should be transliterated into other languages from their Belarusian language forms. ||| that ||| The law decreed that all the forms of the new term should be transliterated into other languages from their Belarusian language forms.
That she had calf-knees. ||| that ||| She also had a body defect, or conformation fault, in that she had calf-knees.
That extended royal legislation and increased the lands they directly controlled. ||| that ||| Kings profited from warfare that extended royal legislation and increased the lands they directly controlled.
That occur in most intense hurricanes. ||| that ||| The hurricane underwent eyewall replacement cycles, which are internal mechanisms that occur in most intense hurricanes.
Because Sega petitioned the appeals court to rehear the case. ||| because ||| The injunction remained in force, however, because Sega petitioned the appeals court to rehear the case.
Once wrote out a list, divided into three categories: liaisons, demi-liaisons, and adventures. ||| once ||| She once wrote out a list, divided into three categories: liaisons, demi-liaisons, and adventures.
After the conclusion of the Commonwealth Games. ||| after ||| He received a one month ban, effective after the conclusion of the Commonwealth Games.
Than her. ||| than ||| Jane was their fourth child; the youngest of her three brothers was seven years older than her.
As Zimbabwe in April 1980. ||| as ||| Britain granted independence to the country as Zimbabwe in April 1980.
That Native Americans lived along the lower Columbia River as early as 10,000 years ago. ||| that ||| Archeological evidence suggests that Native Americans lived along the lower Columbia River as early as 10,000 years ago.
Where the hurricane made landfall. ||| where ||| Damage was heaviest where the hurricane made landfall.
After producing only thirteen vehicles. ||| after ||| The Duryea Motor Wagon Company had formed a year earlier, but went out of business after producing only thirteen vehicles.
That passed them. ||| that ||| In need of supplies and materiel, Rigaud's forces attacked any non-French ship that passed them.
That he had good relations with Clarence 13X. ||| that ||| Louis Farrakhan denied culpability, maintaining that he had good relations with Clarence 13X.
That decade, the watershed still remained less than 1 percent developed. ||| that ||| At the end of that decade, the watershed still remained less than 1 percent developed.
While these preparations were under way. ||| While ||| While these preparations were under way, the Allies continued to monitor Tirpitz.
Though there was no damage to the building itself. ||| though ||| At the White House, the winds downed one tree in the front garden, though there was no damage to the building itself.
While its other companies continued to advance. ||| while ||| One of the battalion's companies subsequently captured the hill, while its other companies continued to advance.
As one of the most important cities in India. ||| as ||| During the Company Raj and later the British Raj, Tiruchirappalli emerged as one of the most important cities in India.
That the key to her actions was his silence. ||| that ||| He acknowledged that the key to her actions was his silence.
As a batsman. ||| As ||| As a batsman, MacLaren was one of the leading cricketers of his time and had a reputation as a fast-scoring stylist.
As a natural harbor for Erie. ||| as ||| The Presque Isle peninsula forms Presque Isle Bay, which serves as a natural harbor for Erie.
That chariot racing was an alternative route to public exposure and fame for the wealthy. ||| that ||| The case of Alcibiades indicates also that chariot racing was an alternative route to public exposure and fame for the wealthy.
After was called to the English bar. ||| after ||| He graduated with a second-class Bachelor of Civil Law degree in 1930, and soon after was called to the English bar.
That she started discussing in her first autobiography, including motherhood and family, racism, identity, education and literacy. ||| that ||| Angelou expands upon many themes that she started discussing in her first autobiography, including motherhood and family, racism, identity, education and literacy.
As baseball commissioner, Chandler returned to his law practice. ||| as ||| Following his tenure as baseball commissioner, Chandler returned to his law practice.
Where he waited for allied auxiliaries to reinforce him. ||| where ||| The next day, Flamininus advanced to Caryae, where he waited for allied auxiliaries to reinforce him.
That would be resistant to rusting. ||| that ||| His intent was to make a metal that would be resistant to rusting.
Until 2004, when the plaque was transported to England and donated to the Tangmere Military Aviation Museum. ||| until ||| This remained until 2004, when the plaque was transported to England and donated to the Tangmere Military Aviation Museum.
As a plutonium production complex, with nine nuclear reactors and related facilities along the banks of the river. ||| as ||| The site served as a plutonium production complex, with nine nuclear reactors and related facilities along the banks of the river.
After affecting Yap. ||| After ||| After affecting Yap, Mitag turned to the northwest and later to the north due to an approaching trough.
Since the 2012 race. ||| since ||| Cambridge were considered the favourites by bookmakers to win for the first time since the 2012 race.
As Perceval entered the lobby. ||| As ||| As Perceval entered the lobby, he was confronted by Bellingham who, drawing a pistol, shot the Prime Minister in the chest.
That were imported or gathered as tribute from Central Asian countries. ||| that ||| These stables housed Ferghana horses that were imported or gathered as tribute from Central Asian countries.
After Casablanca. ||| After ||| After Casablanca, Ismay accompanied Churchill to the third Washington Conference in May 1943.
As a promoter of shares in gold-mining companies. ||| as ||| He subsequently amassed a fortune as a promoter of shares in gold-mining companies.
That the plant belonged to a friend, and then announced that he would be leaving the state. ||| that ||| Brooks claimed that the plant belonged to a friend, and then announced that he would be leaving the state.
As Badajoz with his reduced force and therefore changed his plans. ||| as ||| Soult could not besiege so strong a fortress as Badajoz with his reduced force and therefore changed his plans.
After scoring the record-setting point. ||| After ||| After scoring the record-setting point, Sedin was given a standing ovation that carried on as play continued.
As they progressed. ||| As ||| As they progressed, settlers in their path in South Texas evacuated northward.
When Australia toured England. ||| when ||| Hobbs played just five first-class matches in 1921, when Australia toured England.
That The Wiggles wrote songs they liked and would listen to, and then made them appropriate for children. ||| that ||| Moran stated that The Wiggles wrote songs they liked and would listen to, and then made them appropriate for children.
After a planned pause. ||| After ||| After a planned pause, when the 1st, 2nd and 3rd Canadian Divisions consolidated their positions, the advance resumed.
Where 70 homes were damaged. ||| where ||| The most severe impacts took place in Pannawonica, where 70 homes were damaged.
That slavery was illegal in England. ||| that ||| The Somersett Case of 1772 clarified that slavery was illegal in England.
As Australia won by an innings and 226 runs. ||| as ||| India were bowled out for 98 as Australia won by an innings and 226 runs.
Since the 1994 Winter Olympics. ||| since ||| Belarus has competed in the Olympic Games since the 1994 Winter Olympics.
As flowers. ||| as ||| Mary's drama consists of carefully described objects, such as flowers.
After Walsingham's death. ||| After ||| After Walsingham's death, Sir John Davies composed an acrostic poem in his memory and Watson wrote an elegy, Meliboeus, in Latin.
Since his injury. ||| Since ||| Since his injury, the team had dropped in the standings, causing Morenz to worry.
Though still expensive. ||| though ||| From about 1450 printed books rapidly became popular, though still expensive.
Before joining the Air Force in December 1930. ||| before ||| Born in Melbourne, he was a cadet at the Royal Military College, Duntroon, before joining the Air Force in December 1930.
After Blake suffered a career-ending leg injury. ||| after ||| The Punch line was broken up after Blake suffered a career-ending leg injury.
Once the king had declared the German commission unlawful. ||| Once ||| Once the king had declared the German commission unlawful, it became clear that he would never be won over.
That are simply inaccurate, scribes occasionally made mistakes that caused further errors. ||| that ||| In addition to dates that are simply inaccurate, scribes occasionally made mistakes that caused further errors.
As Deputy Director of Operations and Intelligence. ||| as ||| From 1931 to 1935, he served as Deputy Director of Operations and Intelligence.
Than normal. ||| than ||| Incidence of the main expected causes of this increased mortality, leukemia and other cancers, was not significantly higher than normal.
Before being bowled by Freddie Brown as the match ended in a draw after multiple rain delays. ||| before ||| Harvey made 23 before being bowled by Freddie Brown as the match ended in a draw after multiple rain delays.
That compares with that of Mozart. ||| that ||| Macdonald suggests that, technically, he surpassed all of these, with a feeling for the human voice that compares with that of Mozart.
If a similar storm were to strike as of the year 2003, it would cause $18.7 billion in damages. ||| if ||| It is estimated if a similar storm were to strike as of the year 2003, it would cause $18.7 billion in damages.
Before the storm. ||| before ||| The National Park Service closed the campground on Ocracoke two days before the storm.
Where 200 homes were washed away. ||| where ||| Westerly was also flooded, where 200 homes were washed away.
As of July 2012. ||| as ||| 838 Bushmaster Protected Mobility Vehicles are currently in service with 214 on order as of July 2012.
Even if copy-edited and ready for publication. ||| even if ||| White resigned, and returned all manuscripts in his possession to their authors, even if copy-edited and ready for publication.
That Pohl contact Rogers Terrill at Popular Publications, a leading pulp publisher. ||| that ||| Erisman turned him down, but suggested that Pohl contact Rogers Terrill at Popular Publications, a leading pulp publisher.
As commissioner, Chandler had the power to void Robinson's contract, but he chose to approve it. ||| as ||| First and foremost, as commissioner, Chandler had the power to void Robinson's contract, but he chose to approve it.
That help audiences navigate the plot of the production. ||| that ||| Performers also adhere to a variety of stylistic conventions that help audiences navigate the plot of the production.
When he claimed his first aerial victory on 15 April 1941. ||| when ||| Jeffrey was flying a Hurricane when he claimed his first aerial victory on 15 April 1941.
When the flame was in Vancouver before the opening ceremony. ||| when ||| Linden took part in the 2010 Winter Olympics torch relay when the flame was in Vancouver before the opening ceremony.
As the team's starter with improved performance. ||| as ||| By December, he resumed as the team's starter with improved performance.
Before sailing to Gladstone Dock, Liverpool, to receive repairs. ||| before ||| King George V was patched up at Seidisfjord, before sailing to Gladstone Dock, Liverpool, to receive repairs.
After midnight, more than 2,000 Mexican soldiers began preparing for the final assault. ||| after ||| Just after midnight, more than 2,000 Mexican soldiers began preparing for the final assault.
As one of the worst vice presidents in American history in a 2008 Time Magazine article. ||| as ||| Claire Suddath rated Marshall as one of the worst vice presidents in American history in a 2008 Time Magazine article.
That he was the sixth-fastest qualifier. ||| that ||| However, his heat was relatively slow, meaning that he was the sixth-fastest qualifier.
That the two men published were devoted to criticizing the Catholic belief of transubstantiation. ||| that ||| In 1548, ten of the twenty works that the two men published were devoted to criticizing the Catholic belief of transubstantiation.
As governor, Nunn opened a law practice in Lexington. ||| as ||| Following his term as governor, Nunn opened a law practice in Lexington.
After a five-year absence, the 2012 G3 Tour featured Lukather alongside Joe Satriani and Steve Vai. ||| after ||| Returning after a five-year absence, the 2012 G3 Tour featured Lukather alongside Joe Satriani and Steve Vai.
That is practised in Karnataka. ||| that ||| Gamaka is another classical music genre based on Carnatic music that is practised in Karnataka.
As unnecessary and antipathetic to fostering native talent. ||| as ||| They saw Western-style conservatories as unnecessary and antipathetic to fostering native talent.
That there was no mass killing of Croats. ||| that ||| Historian Michele F. Levy agrees that there was no mass killing of Croats.
Since 1957. ||| since ||| Colleges in Hamilton include:McMaster Divinity College, a Christian seminary affiliated with the Baptist Convention of Ontario and Quebec since 1957.
That was devastated by erosion and wildfires. ||| that ||| The lumbermen left behind a barren landscape that was devastated by erosion and wildfires.
Than the rest of the watershed, and meandering streams are much more common. ||| than ||| The redwoods region is less mountainous than the rest of the watershed, and meandering streams are much more common.
After the storm there were several accusations of political motivation in the distribution of aid. ||| after ||| However, after the storm there were several accusations of political motivation in the distribution of aid.
While Virginia Tech's defense reached Davis five times. ||| while ||| Boston College sacked Taylor twice, while Virginia Tech's defense reached Davis five times.
Because Latour-Maubourg ignored them and instead launched his cavalry against the Spanish infantry line. ||| because ||| They escaped unscathed, largely because Latour-Maubourg ignored them and instead launched his cavalry against the Spanish infantry line.
That public expectations regarding morality and what constitutes an impermissible violation of the right to privacy has changed over time. ||| that ||| He observes that public expectations regarding morality and what constitutes an impermissible violation of the right to privacy has changed over time.
After serving just over five years, and returned to The Dicker, still his family home. ||| after ||| He was released on 29 July 1927, after serving just over five years, and returned to The Dicker, still his family home.
That the team played well, and despite the result did not suffer disgrace. ||| that ||| Critics judged that the team played well, and despite the result did not suffer disgrace.
As they advanced toward the Texian positions, to little effect. ||| as ||| They began firing as they advanced toward the Texian positions, to little effect.
That Roger Tichborne had this same defect, but this could not be established beyond speculation and hearsay. ||| that ||| It would later be suggested that Roger Tichborne had this same defect, but this could not be established beyond speculation and hearsay.
As in the majority of American comic books, Kurtzman did not letter using all capitals. ||| as ||| Unlike as in the majority of American comic books, Kurtzman did not letter using all capitals.
Once used as a grazing spot by nomadic Aboriginals. ||| Once ||| Once used as a grazing spot by nomadic Aboriginals, the terrace was farmed by settlers until it was developed into a town.
When the charter next came up for renewal. ||| when ||| Wilberforce tried again in 1813, when the charter next came up for renewal.
As trapped pockets of lake water and can erode away or be filled by wind-blown sand or drifting dunes. ||| as ||| The ponds start as trapped pockets of lake water and can erode away or be filled by wind-blown sand or drifting dunes.
After the injury at Headingley. ||| After ||| After the injury at Headingley, Toshack was out of action for two weeks, missing the matches against Derbyshire, Glamorgan and Warwickshire.
Since 1968 that two Virginia Tech players had six interceptions apiece. ||| since ||| It was the first time since 1968 that two Virginia Tech players had six interceptions apiece.
That arranged the convention. ||| that ||| Both Breckinridge and Johnson served on the Committee of Ten that arranged the convention.
Before flying out of bounds. ||| before ||| The kick was a poor one, and traveled only 28 yards before flying out of bounds.
As one of the top 10 underclassmen in the country during the camp. ||| as ||| According to the Chicago Sun-Times, he was ranked as one of the top 10 underclassmen in the country during the camp.
When he became President of the Council of Ministers in 1871. ||| when ||| His ability exactly fit the situation in Brazil when he became President of the Council of Ministers in 1871.
As American black bears, black-tailed deer, bobcats, ring-tailed cats, and gray foxes are common inhabitants of this region. ||| as ||| Mammals such as American black bears, black-tailed deer, bobcats, ring-tailed cats, and gray foxes are common inhabitants of this region.
As many innings with 108 against Oxford University. ||| as ||| Australia proceeded to another innings victory, and Brown completed his third century in as many innings with 108 against Oxford University.
As a subtropical storm. ||| as ||| Hurricane Vince formed over unfavorably cold water in the east Atlantic near the Madeira Islands on October 8 as a subtropical storm.
Until being absorbed by a larger extratropical low on October 6. ||| until ||| The remnants persisted for a few days, until being absorbed by a larger extratropical low on October 6.
That the proposal would dramatically lengthen game times. ||| that ||| Opponents raised concerns that the proposal would dramatically lengthen game times.
If elected governor. ||| if ||| During his gubernatorial campaign, Laffoon had promised not to seek higher office if elected governor.
As an almighty and fatherlike figure who protected the people. ||| as ||| Rosas created an elaborate cult of personality, presenting himself as an almighty and fatherlike figure who protected the people.
